Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Chrome 131.0.0.0,,,10-01-2025 08:36:16,10-01-2025 08:41:46,5m - 29.756s,PASSED
,,,,,,,
Test Cases/Web/TC_Login,Chrome 131.0.0.0,,,10-01-2025 08:36:16,10-01-2025 08:36:31,14.727s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,10-01-2025 08:36:16,10-01-2025 08:36:18,2.179s,PASSED
navigateToUrl(Web_URL),Chrome 131.0.0.0,,,10-01-2025 08:36:18,10-01-2025 08:36:23,5.195s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,10-01-2025 08:36:23,10-01-2025 08:36:24,0.807s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 131.0.0.0,,,10-01-2025 08:36:24,10-01-2025 08:36:25,0.814s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 131.0.0.0,,,10-01-2025 08:36:25,10-01-2025 08:36:25,0.277s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 131.0.0.0,,,10-01-2025 08:36:25,10-01-2025 08:36:26,0.846s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 131.0.0.0,,,10-01-2025 08:36:26,10-01-2025 08:36:27,0.996s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 131.0.0.0,,,10-01-2025 08:36:27,10-01-2025 08:36:27,0.254s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 131.0.0.0,,,10-01-2025 08:36:27,10-01-2025 08:36:28,0.258s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 131.0.0.0,,,10-01-2025 08:36:28,10-01-2025 08:36:28,0.270s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/td_31""))",Chrome 131.0.0.0,,,10-01-2025 08:36:28,10-01-2025 08:36:28,0.467s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/textarea_Comment_comment""), Comment)",Chrome 131.0.0.0,,,10-01-2025 08:36:28,10-01-2025 08:36:29,0.720s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 131.0.0.0,,,10-01-2025 08:36:29,10-01-2025 08:36:30,0.524s,PASSED
"takeScreenshotAsCheckpoint(""appointment_confirmation_1"")",Chrome 131.0.0.0,,,10-01-2025 08:36:30,10-01-2025 08:36:30,0.837s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,10-01-2025 08:36:30,10-01-2025 08:36:31,0.132s,PASSED
,,,,,,,
Test Cases/Web/TC_Login,Chrome 131.0.0.0,,,10-01-2025 08:36:31,10-01-2025 08:36:42,11.235s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,10-01-2025 08:36:31,10-01-2025 08:36:31,0.891s,PASSED
navigateToUrl(Web_URL),Chrome 131.0.0.0,,,10-01-2025 08:36:31,10-01-2025 08:36:34,2.834s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,10-01-2025 08:36:34,10-01-2025 08:36:35,0.606s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 131.0.0.0,,,10-01-2025 08:36:35,10-01-2025 08:36:36,0.770s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 131.0.0.0,,,10-01-2025 08:36:36,10-01-2025 08:36:36,0.258s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 131.0.0.0,,,10-01-2025 08:36:36,10-01-2025 08:36:37,1.501s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 131.0.0.0,,,10-01-2025 08:36:37,10-01-2025 08:36:38,0.962s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 131.0.0.0,,,10-01-2025 08:36:38,10-01-2025 08:36:39,0.258s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 131.0.0.0,,,10-01-2025 08:36:39,10-01-2025 08:36:39,0.246s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 131.0.0.0,,,10-01-2025 08:36:39,10-01-2025 08:36:39,0.264s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/td_31""))",Chrome 131.0.0.0,,,10-01-2025 08:36:39,10-01-2025 08:36:40,0.467s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/textarea_Comment_comment""), Comment)",Chrome 131.0.0.0,,,10-01-2025 08:36:40,10-01-2025 08:36:40,0.715s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 131.0.0.0,,,10-01-2025 08:36:40,10-01-2025 08:36:41,0.634s,PASSED
"takeScreenshotAsCheckpoint(""appointment_confirmation_1"")",Chrome 131.0.0.0,,,10-01-2025 08:36:41,10-01-2025 08:36:42,0.692s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,10-01-2025 08:36:42,10-01-2025 08:36:42,0.118s,PASSED
,,,,,,,
Test Cases/Web/TC_Login,Chrome 131.0.0.0,,,10-01-2025 08:36:42,10-01-2025 08:36:57,14.869s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,10-01-2025 08:36:42,10-01-2025 08:36:43,0.729s,PASSED
navigateToUrl(Web_URL),Chrome 131.0.0.0,,,10-01-2025 08:36:43,10-01-2025 08:36:45,2.737s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 131.0.0.0,,,10-01-2025 08:36:45,10-01-2025 08:36:46,0.964s,PASSED
"setText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 131.0.0.0,,,10-01-2025 08:36:46,10-01-2025 08:36:47,0.780s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 131.0.0.0,,,10-01-2025 08:36:47,10-01-2025 08:36:47,0.262s,PASSED
"click(findTestObject(""Object Repository/Web/Login/Page_CURA Healthcare Service/button_Login""))",Chrome 131.0.0.0,,,10-01-2025 08:36:47,10-01-2025 08:36:52,4.855s,PASSED
